,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,last_owned
8432,SOLD,100000,4.0,3.0,5.7,11 Applewood Ln,Cornwall,Connecticut,6754.0,1200.0,Not Owned
8433,SOLD,122750,4.0,2.0,0.13,70 High St,Hoosick Falls,New York,12090.0,1978.0,6/1/2018
8434,SOLD,169900,3.0,2.0,12.1,59-60 Carolyn Rd,Schodack Landing,New York,12033.0,1200.0,Not Owned
8435,SOLD,105000,4.0,3.0,1.04,5 Smith Pl,Cornwall,Connecticut,6796.0,1200.0,Not Owned
8436,SOLD,220000,3.0,2.0,15.87,County Rt # 5,New Lebanon,New York,12125.0,1804.0,Not Owned
8437,SOLD,925000,7.0,4.0,2.9,3 Cross St,Copake,New York,12516.0,3416.0,Not Owned
8438,SOLD,650000,4.0,3.0,7.94,124 Nugent Rd,Grafton,New York,12082.0,3088.0,Not Owned
8439,SOLD,32000,3.0,2.0,5.5,Gale Hill Rd,New Lebanon,New York,12125.0,1804.0,Not Owned
8440,SOLD,60000,3.0,2.0,9.0,14406 State Route 22,New Lebanon,New York,12029.0,1804.0,Not Owned
8441,SOLD,164900,3.0,1.0,1.0,32 Williams Rd,Stephentown,New York,12169.0,1845.0,4/19/2007
8442,SOLD,25000,3.0,2.0,1.54,Rice Ln,White Creek,New York,12816.0,1200.0,Not Owned
8443,SOLD,60000,3.0,2.0,7.0,State Rt # 22,New Lebanon,New York,12125.0,1804.0,Not Owned
8444,SOLD,479000,3.0,3.0,1.87,25 Cayuga Ct,Poestenkill,New York,12018.0,4622.0,Not Owned
8445,SOLD,175000,3.0,2.0,40.01,Malden St,Nassau Village,New York,12123.0,1200.0,Not Owned
8446,SOLD,378000,5.0,3.0,0.82,611 Route 20,New Lebanon,New York,12125.0,3075.0,7/17/2018
